12345679,Akshay Hibab,ahibab@u.rochester.edu,2000,1
20587214,Samuel Waters,SWaters@u.rochester.edu,34094,34
23297279,Lily-Rose Prentice,LPrentice@u.rochester.edu,5560,15
29889018,May Hodson,MHodson@u.rochester.edu,2061,27
77580188,Lorelai Hays,LHays@u.rochester.edu,2307,14
76496018,Thomas Bowler,TBowler@u.rochester.edu,8157,12
18822518,Angel Valdez,AValdez@u.rochester.edu,4684,33
64654892,Elli Schroeder,ESchroeder@u.rochester.edu,7873,21
10182222,Suraj Livingston,SLivingston@u.rochester.edu,3450,29
55075141,Bentley Britton,BBritton@u.rochester.edu,5884,20
78283646,Myron Richard,MRichard@u.rochester.edu,8850,40
13701809,Emilee Gunn,EGunn@u.rochester.edu,4644,2
70346940,Isabel Millington,IMillington@u.rochester.edu,3305,32
79655229,Catriona Sexton,CSexton@u.rochester.edu,6610,22
27406990,Jaydon Hogg,JHogg@u.rochester.edu,6250,38
17751682,Sameeha Juarez,SJuarez@u.rochester.edu,7220,4
37827421,Randall Marsden,RMarsden@u.rochester.edu,4832,17
28113365,Sapphire Munoz,SMunozv@u.rochester.edu,2564,25
45572161,Nelson Gomez,NGomez@u.rochester.edu,4958,0
6578691,Grant Battle,GBattle@u.rochester.edu,3401,7
54034915,Brandi Lovell,BLovell@u.rochester.edu,4949,9
1917448,Kali Vu,KVu@u.rochester.edu,1257,39
68455996,Travis Walker,TWalker@u.rochester.edu,845,37
97989482,Kelis Howard,KHoward@u.rochester.edu,7628,11
58994043,Farhana Wise,FWise@u.rochester.edu,7735,6
89343199,Yazmin Sparrow,YSparrow@u.rochester.edu,9573,23
22561039,Jak Wood,JWood@u.rochester.edu,1877,36
30449053,Dotty Hardy,DHardy@u.rochester.edu,2179,18
42420467,Judah Macdonald,JMacdonald@u.rochester.edu,1106,28
83934261,Sulaiman Rios,SRios@u.rochester.edu,8991,35
23677295,Kier Camacho,KCamacho@u.rochester.edu,7842,16
